Oil Rate Cum,sed18ss_csv,seh5n_csv,sef19n_csv,sda5n_csv,sec10ls_csv,sec1n_csv,sec24_csv,sec34ls_csv,sed24ls_csv,sec7_csv,sec20_csv,sed3ls_csv,raa4ss_csv,seh8n_csv,sec4_csv,sed7n_csv,seb7ls_csv,seh3st3n_csv,seb31_csv,sed24ss_csv,sec34ss_csv,raa4_csv,raa1_csv,raa3_csv,sed21ls_csv,sef12n_csv,raa2_csv,sed2ls_csv,seg25st_csv,see8n_csv,see5ls_csv,sed12ls_csv,sec32n_csv,see15ss_csv,sda3ss_csv,raa9_csv,raa8_csv,sed14ls_csv,sed10ss_csv,sec11_csv,sec38_csv,sea2_csv,sed28ls_csv,seg3st_csv,seb6st1ls_csv,sed8ss_csv,sed31ls_csv,sed9ls_csv,seh6n_csv,sef9n_csv,seb8_csv
13422.54,0,77.56,492.34,0,0,238.42,0,0,0,0,321.33,194.67,666.72,75.66,786.24,272.79,171.52,0,307.81,324.57,0,0,0,81.56,738.81,421.97,1288.17,755.64,348.46,0,275.51,175.45,221.72,0,200.42,203.64,37.06,254.89,480.84,0,307.21,907.79,0,599.36,325.39,482.59,0,0,40.51,1174.94,170.98
13424.5,0,273.18,460.09,0,0,222.8,0,0,0,0,300.28,191.91,664.58,239.3,734.73,268.93,210.79,36.92,287.65,245.14,0,0,0,81.3,690.41,415.99,1284.04,706.14,325.63,0,338.58,204.08,207.2,0,236.58,202.99,36.94,238.19,449.34,0,287.09,848.32,0,373.4,399.88,450.98,0,0,142.7,1158.3,210.12
13492.52,0,474.57,389.19,0,129.24,44,74.43,0,0,102.97,80,0,795.61,362.15,137.65,0,362.85,84.09,452.85,0,0,0,1582,87.6,0,0,1459.9,0,393.33,578.23,354.23,0,0,991.15,283.28,241.42,44.22,0,0,235.73,86.5,886.48,0,638.91,350.64,0,0,0,278.91,1510.39,0
13501.32,0,470.61,429.41,304.64,163.58,0,0,429.96,0,0,280.26,179.12,0,447.78,685.73,250.99,204,64.96,298.3,259.81,0,0,406.32,0,644.37,388.25,0,659.05,303.92,120.63,316,261.22,193.38,0,220.81,0,0,222.31,419.37,1004.59,267.94,791.75,0,522.75,309.49,420.9,0,0,260.92,1081.06,217.14
13515.37,384.52,270.04,327.49,0,139.95,0,145.46,0,176.3,0,0,0,0,259.48,216.88,373.42,167,31.9,344.38,247.15,0,920.83,491.56,60.73,442.6,0,780.17,0,253.64,577.12,166.57,0,0,0,241.79,168.2,38.22,383.81,552.5,574.28,83.38,1882.87,0,351,325.81,0,435.91,767.5,184.62,695.08,53.21
13581.41,403.55,302.22,366.52,0,0,0,332.52,0,197.31,0,284.29,0,0,290.41,351.17,417.92,186.9,35.7,385.43,195.93,0,1030.57,550.15,67.96,314.75,0,873.15,0,283.87,645.9,186.42,0,0,0,270.61,188.24,42.77,295.32,618.35,856.96,190.61,632.18,0,392.83,0,0,487.86,858.96,206.62,777.91,59.55
13584.58,377.83,33.17,278.22,0,248.13,0,291.94,0,173.23,196.02,215.8,0,0,31.87,435.28,366.92,164.09,3.92,338.39,209.97,0,904.81,483.01,59.67,289.94,0,766.6,0,249.23,567.08,163.67,0,0,0,237.59,165.27,37.55,377.14,542.89,752.39,167.35,1850.13,0,344.9,320.15,0,428.33,754.15,22.68,682.99,52.28
13589.37,385.36,288.6,349.99,0,162.57,0,317.53,0,188.41,82.19,271.47,0,0,277.31,246.57,399.08,178.47,34.09,368.05,137.57,203.52,984.11,525.34,64.9,473.02,0,833.79,0,271.07,616.78,178.01,0,0,0,258.41,179.76,40.84,282,590.47,818.32,182.02,603.68,0,375.12,137.83,0,465.86,820.24,197.31,742.84,56.87
13730.56,0,490.63,426.21,0,0,0,0,0,0,0,0,160,615.64,478.63,696.79,249.13,195.27,73.85,266.47,369.49,0,0,0,75.32,625.1,385.36,1248.17,654.14,321.6,370.77,313.65,87.4,163.95,0,219.16,188.04,75.98,244.12,416.25,0,265.94,850.87,0,839.97,370.43,411.23,0,0,291.23,1095.13,194.64
13798.26,344.91,242.22,293.75,0,261.98,0,266.5,0,158.13,146.6,227.85,0,0,232.75,397.34,334.95,149.79,28.61,308.9,221.69,327.97,825.96,440.92,54.47,397,0,699.79,0,227.51,517.66,149.41,110.95,0,0,144.59,150.87,34.28,344.27,495.58,686.82,152.77,1688.89,209.28,314.84,292.24,0,391,688.43,165.6,623.46,47.73
13901.28,0,365.55,443.32,0,0,0,402.2,0,238.65,0,71.64,0,0,351.26,0,505.49,226.06,43.18,466.19,0,0,1246.53,665.43,82.2,599.15,0,1056.12,0,275.4,781.25,225.48,0,0,0,327.32,227.69,51.73,357.2,747.92,1036.53,230.55,0,0,381.11,0,0,590.09,643.17,249.92,940.92,72.03
13909.65,0,492.83,423.66,0,281.69,0,0,0,0,605.86,0,159.05,702.72,480.77,692.62,0,194.1,74.18,264.87,367.28,206.15,0,0,74.86,573.64,383.05,1240.7,650.23,319.67,368.55,311.77,86.87,209.34,0,217.85,186.92,151.05,242.66,413.76,0,264.35,0,218.66,834.94,368.21,0,0,272.2,292.54,1088.57,193.48
13926.09,0,504.44,433.64,0,60.07,0,0,0,0,129.19,22.36,162.79,626.37,492.1,708.93,253.47,198.67,75.93,271.11,375.94,41.76,0,0,76.63,636,392.08,1269.93,665.55,327.21,377.24,319.12,88.92,166.8,0,222.98,191.32,77.31,224.5,423.51,0,270.58,865.7,0,845.71,98.15,418.39,0,0,299.43,1114.22,198.04
13995.38,384.24,269.84,327.25,0,291.85,0,296.89,0,176.17,0,0,0,0,259.29,442.65,373.14,166.87,31.87,344.13,246.97,0,920.15,491.2,60.68,442.28,0,779.6,0,253.46,576.69,166.44,0,0,0,241.61,168.07,38.19,383.53,552.09,765.14,170.19,1881.48,0,350.74,325.57,0,117.97,766.93,184.48,694.56,53.17
14033.07,417.37,293.11,355.47,0,317.02,0,322.49,0,191.36,250.44,275.72,0,0,281.65,480.82,405.32,181.26,34.62,373.8,268.27,396.87,999.49,533.56,65.91,480.41,0,846.82,0,275.31,626.42,180.8,0,0,0,0,0,41.48,416.6,599.7,831.12,184.86,613.12,0,380.99,265.23,0,0,833.06,200.39,754.45,57.76
14036.03,351.93,247.15,299.74,0,267.32,0,141.63,0,161.36,162.78,232.49,0,0,237.49,405.44,341.77,152.84,29.19,315.2,226.21,334.65,842.79,449.9,55.58,405.09,0,714.05,0,232.15,528.21,152.45,113.21,0,0,221.3,153.94,34.98,351.28,505.68,700.81,155.88,1723.3,213.54,321.25,298.2,0,398.96,702.45,168.97,636.17,48.7
14049.84,0,315.18,382.24,0,340.9,0,289.67,0,205.77,277.84,301.06,0,0,291.48,519.79,303.19,212.63,36.08,455.74,288.47,0,590.7,466.16,70.88,396.58,0,796.77,0,299.31,669.81,296.84,0,0,350.8,282.21,0,44.06,294.5,715.81,931.46,353.8,659.29,0,400.85,231.99,0,479.31,389.13,277.86,769.57,62.11
14065.65,376.58,264.47,320.73,0,286.04,0,290.98,0,172.66,37.66,0,0,0,254.13,433.84,365.71,163.55,31.24,337.28,242.05,0,901.82,481.42,59.47,433.47,0,764.07,0,248.41,565.21,163.13,0,0,0,236.8,164.73,37.43,375.89,541.1,749.9,166.8,1844.01,0,343.76,319.09,0,426.91,751.66,180.81,680.73,52.11
14068.35,377.67,265.23,321.65,0,286.87,0,291.82,0,173.16,0,0,0,0,254.86,435.09,366.76,164.02,31.33,338.25,242.75,0,904.42,482.8,59.64,434.72,0,766.27,0,249.12,566.84,163.6,0,0,0,237.48,165.2,37.53,376.97,542.65,752.06,167.28,1849.32,0,344.75,320,0,428.14,753.82,181.33,682.69,52.26
14077.47,0,509.59,438.06,0,0,0,0,0,0,0,0,164.45,632.76,497.12,716.16,256.05,200.7,76.7,273.88,379.77,0,0,0,77.41,593.14,396.08,1282.88,672.33,330.54,381.08,322.37,89.83,168.51,0,225.26,193.27,78.09,250.91,427.82,0,273.34,874.53,0,863.33,380.73,422.66,0,0,302.48,1125.58,200.06
14093.15,378.69,265.95,322.53,0,287.64,0,292.61,0,173.63,0,0,0,0,255.55,436.27,367.76,164.47,31.41,339.16,243.41,0,906.87,484.11,59.81,435.9,0,768.35,0,249.8,568.37,164.04,0,0,0,238.13,165.65,37.64,377.99,544.13,754.1,167.73,1854.34,0,345.68,307.5,0,429.3,755.87,181.82,684.54,52.4
14114.34,399.3,280.42,340.08,0,303.3,0,308.53,0,183.07,239.6,263.78,0,0,269.46,460.01,387.77,173.42,33.12,357.62,256.65,197.76,956.22,510.46,63.06,459.61,0,810.16,0,263.39,599.3,144.14,0,0,0,251.09,174.66,39.68,398.56,573.74,795.13,176.86,586.57,0,364.49,274.9,0,452.66,797,191.72,721.79,55.26
